benchmark,variant,threads,time,throughput,futex_count
l3_request_metrics,v0,1,0.04319066666666666,231531336.60999998,0.0
l3_request_metrics,v0,2,0.13621966666666666,147146133.66333333,0.0
l3_request_metrics,v0,4,0.26420533333333335,151738426.06333336,0.0
l3_request_metrics,v0,8,0.5154306666666667,155210534.55999997,0.0
l3_request_metrics,v0,16,1.259075,127143473.37666667,0.0
l3_request_metrics,v0,32,2.7332099999999997,117112741.29666667,0.0
l3_request_metrics,v1,1,0.12186833333333334,82061212.59333333,0.0
l3_request_metrics,v1,2,0.5685356666666667,35587625.51333333,0.0
l3_request_metrics,v1,4,1.4781133333333332,27429698.830000002,0.0
l3_request_metrics,v1,8,2.6216686666666664,31089124.290000003,0.0
l3_request_metrics,v1,16,5.586624333333333,28819724.463333335,0.0
l3_request_metrics,v1,32,11.972765333333335,26729469.22,0.0
l3_approximate_monitoring,v0,1,0.05053633333333333,209671931.49666667,0.0
l3_approximate_monitoring,v0,2,0.11133766666666667,179907316.50333333,0.0
l3_approximate_monitoring,v0,4,0.22702533333333333,176245784.52666667,0.0
l3_approximate_monitoring,v0,8,0.4209483333333333,190160014.7166667,0.0
l3_approximate_monitoring,v0,16,0.7755633333333334,206305002.92666665,0.0
l3_approximate_monitoring,v0,32,1.4129000000000003,226491102.82000002,0.0
l3_approximate_monitoring,v1,1,0.11391233333333334,89205895.76666667,0.0
l3_approximate_monitoring,v1,2,0.726512,27789574.546666667,0.0
l3_approximate_monitoring,v1,4,1.5313780000000001,26120755.659999996,0.0
l3_approximate_monitoring,v1,8,2.857337333333333,28357770.093333334,0.0
l3_approximate_monitoring,v1,16,5.580048333333333,28890077.666666668,0.0
l3_approximate_monitoring,v1,32,12.996585666666666,24622091.590000004,0.0
l4_degraded_mode,v0,1,0.08879466666666667,115237202.86666667,0.0
l4_degraded_mode,v0,2,0.09608233333333334,208174995.39,0.0
l4_degraded_mode,v0,4,0.09054666666666666,454421345.3533333,0.0
l4_degraded_mode,v0,8,0.10155199999999999,787838858.9466667,0.0
l4_degraded_mode,v0,16,0.08971566666666665,1797724973.1633332,0.0
l4_degraded_mode,v0,32,0.08776600000000001,3712140934.83,0.0
l4_degraded_mode,v1,1,0.16585866666666668,60292392.43333334,0.0
l4_degraded_mode,v1,2,0.7130930000000001,28049155.276666667,0.0
l4_degraded_mode,v1,4,1.4428626666666666,27838808.689999998,0.0
l4_degraded_mode,v1,8,3.165998666666667,25708339.42,0.0
l4_degraded_mode,v1,16,7.8290679999999995,20473789.743333336,0.0
l4_degraded_mode,v1,32,16.323273,19604609.96666667,0.0
l4_hierarchical_contract,v0,1,0.105059,95195498.80333334,0.0
l4_hierarchical_contract,v0,2,4.350606666666667,14021381.406666666,0.0
l4_hierarchical_contract,v0,4,1.6420849999999998,24473501.203333333,0.0
l4_hierarchical_contract,v0,8,2.6118026666666667,31533107.686666667,0.0
l4_hierarchical_contract,v0,16,6.894939666666667,23682503.600000005,0.0
l4_hierarchical_contract,v0,32,14.684345666666667,21792203.393333334,0.0
l4_hierarchical_contract,v1,1,0.15904833333333332,62879553.20666667,0.0
l4_hierarchical_contract,v1,2,1.9619373333333332,16437612.54,0.0
l4_hierarchical_contract,v1,4,2.876276333333333,13936157.883333335,0.0
l4_hierarchical_contract,v1,8,6.052249,13868108.316666668,0.0
l4_hierarchical_contract,v1,16,13.675776333333332,11900902.376666667,0.0
l4_hierarchical_contract,v1,32,28.45112366666667,11250729.863333335,0.0
